回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2025-03-01,2026-02-28,13.0,6.0,7,20.0,540967.81,54.1,751,42.21
2025-03-01,2026-02-28,15.0,3.0,8,20.0,540846.61,54.08,701,32.67
2025-03-01,2026-02-28,9.0,3.0,5,20.0,539391.25,53.94,849,40.05
2025-03-01,2026-02-28,14.0,5.0,5,25.0,539189.76,53.92,838,43.32
2025-03-01,2026-02-28,10.0,6.0,6,25.0,538589.04,53.86,748,42.78
2025-03-01,2026-02-28,13.0,6.0,5,25.0,538278.17,53.83,822,44.53
2025-03-01,2026-02-28,13.0,7.0,5,25.0,535734.04,53.57,750,45.73
2025-03-01,2026-02-28,9.0,4.0,6,25.0,532995.54,53.3,828,39.61
2025-03-01,2026-02-28,9.0,6.0,7,25.0,529985.46,53.0,741,43.32
2025-03-01,2026-02-28,13.0,8.0,5,20.0,528082.06,52.81,803,43.71
2025-03-01,2026-02-28,14.0,5.0,9,25.0,527899.02,52.79,651,38.1
2025-03-01,2026-02-28,12.0,7.0,10,20.0,527632.18,52.76,695,39.57
2025-03-01,2026-02-28,15.0,3.0,5,20.0,526199.37,52.62,855,36.73
2025-03-01,2026-02-28,11.0,6.0,6,25.0,525187.37,52.52,721,41.61
2025-03-01,2026-02-28,14.0,3.0,7,20.0,524687.15,52.47,749,35.11
2025-03-01,2026-02-28,8.0,7.0,10,20.0,523691.1,52.37,698,40.69
2025-03-01,2026-02-28,13.0,8.0,10,25.0,522804.05,52.28,620,37.9
2025-03-01,2026-02-28,8.0,7.0,10,25.0,522059.17,52.21,705,41.13
2025-03-01,2026-02-28,8.0,4.0,6,25.0,521587.52,52.16,837,41.1
2025-03-01,2026-02-28,12.0,5.0,6,25.0,521336.34,52.13,724,41.02
2025-03-01,2026-02-28,15.0,3.0,9,25.0,519625.81,51.96,626,31.31
2025-03-01,2026-02-28,11.0,7.0,6,25.0,518914.43,51.89,727,44.43
2025-03-01,2026-02-28,15.0,7.0,7,20.0,517890.85,51.79,682,42.38
2025-03-01,2026-02-28,10.0,8.0,8,25.0,517480.63,51.75,663,41.93
2025-03-01,2026-02-28,14.0,8.0,9,20.0,516349.64,51.63,675,38.37
2025-03-01,2026-02-28,11.0,8.0,7,25.0,516015.0,51.6,720,43.19
2025-03-01,2026-02-28,9.0,6.0,9,20.0,515408.64,51.54,700,40.43
2025-03-01,2026-02-28,12.0,5.0,5,25.0,512861.54,51.29,783,43.17
2025-03-01,2026-02-28,10.0,6.0,10,20.0,512418.45,51.24,708,39.12
2025-03-01,2026-02-28,12.0,3.0,5,25.0,512121.59,51.21,795,37.61
2025-03-01,2026-02-28,12.0,3.0,9,25.0,510479.28,51.05,716,32.4
2025-03-01,2026-02-28,13.0,5.0,5,20.0,503607.2,50.36,828,43.48
2025-03-01,2026-02-28,14.0,6.0,8,25.0,502360.06,50.24,654,40.21
2025-03-01,2026-02-28,12.0,3.0,5,20.0,501934.59,50.19,851,37.25
2025-03-01,2026-02-28,13.0,5.0,10,25.0,500030.77,50.0,677,36.19
2025-03-01,2026-02-28,11.0,5.0,7,20.0,499940.33,49.99,768,41.15
2025-03-01,2026-02-28,12.0,7.0,5,25.0,498258.62,49.83,744,45.83
2025-03-01,2026-02-28,8.0,6.0,9,25.0,497958.92,49.8,765,41.31
2025-03-01,2026-02-28,11.0,7.0,5,25.0,497634.38,49.76,743,46.3
2025-03-01,2026-02-28,14.0,3.0,7,25.0,497113.41,49.71,721,33.98
2025-03-01,2026-02-28,9.0,7.0,9,20.0,496989.82,49.7,632,39.4
2025-03-01,2026-02-28,14.0,4.0,5,25.0,496832.48,49.68,789,42.08
2025-03-01,2026-02-28,11.0,3.0,5,25.0,496040.77,49.6,834,38.49
2025-03-01,2026-02-28,14.0,7.0,5,20.0,494034.07,49.4,774,44.83
2025-03-01,2026-02-28,14.0,4.0,6,20.0,490296.63,49.03,746,38.34
2025-03-01,2026-02-28,12.0,6.0,5,25.0,489932.04,48.99,716,43.58
2025-03-01,2026-02-28,15.0,5.0,7,25.0,489464.44,48.95,662,38.82
2025-03-01,2026-02-28,12.0,4.0,7,20.0,488988.86,48.9,766,37.86
2025-03-01,2026-02-28,14.0,6.0,7,25.0,488556.23,48.86,657,40.64
2025-03-01,2026-02-28,14.0,4.0,9,20.0,487005.17,48.7,738,35.23
2025-03-01,2026-02-28,15.0,5.0,9,25.0,485356.45,48.54,657,37.14
2025-03-01,2026-02-28,14.0,7.0,7,25.0,484382.89,48.44,669,42.45
2025-03-01,2026-02-28,10.0,7.0,5,25.0,484267.85,48.43,772,44.56
2025-03-01,2026-02-28,11.0,6.0,10,25.0,483939.4,48.39,675,38.67
2025-03-01,2026-02-28,14.0,7.0,10,20.0,480801.34,48.08,669,37.22
2025-03-01,2026-02-28,14.0,7.0,7,20.0,480556.44,48.06,714,41.18
2025-03-01,2026-02-28,15.0,6.0,8,25.0,479132.16,47.91,662,39.73
2025-03-01,2026-02-28,8.0,7.0,7,20.0,477950.88,47.8,788,44.16
2025-03-01,2026-02-28,12.0,4.0,8,20.0,477418.46,47.74,747,37.75
2025-03-01,2026-02-28,14.0,3.0,10,20.0,477315.43,47.73,722,30.61
2025-03-01,2026-02-28,14.0,4.0,6,25.0,477069.04,47.71,709,37.8
2025-03-01,2026-02-28,14.0,3.0,10,25.0,474814.97,47.48,672,31.99
2025-03-01,2026-02-28,14.0,6.0,9,25.0,473007.54,47.3,652,37.27
2025-03-01,2026-02-28,8.0,8.0,10,20.0,472565.96,47.26,713,41.51
2025-03-01,2026-02-28,8.0,5.0,10,20.0,471562.13,47.16,759,37.94
2025-03-01,2026-02-28,13.0,4.0,7,25.0,470642.95,47.06,717,38.77
2025-03-01,2026-02-28,12.0,8.0,10,25.0,470228.09,47.02,677,39.44
2025-03-01,2026-02-28,9.0,7.0,7,20.0,468473.46,46.85,722,41.83
