Date,StockCode,Action,Shares,Price,Amount,PnL_Amount,PnL_Percent,Reason,Cash_Remaining
2026-02-05,300118,SELL,1700,22.18,37706.0,-3094.0,-7.58,止损,223317.77
2026-02-05,300751,SELL,500,302.0,151000.0,-16500.0,-9.85,止损,374317.77
2026-02-05,600026,SELL,800,16.16,12928.0,792.0,6.53,超时强平(8天),387245.77
2026-02-05,688223,SELL,25800,7.8,201240.0,20640.0,11.43,止盈,588485.77
2026-02-05,600763,BUY,3900,50.82,198198.0,0.0,0.0,主升浪启动,390287.77
2026-02-05,300724,SELL,1200,129.4,155280.0,-8796.0,-5.36,策略S点(破均线),545567.77
2026-02-05,600938,SELL,100,33.68,3368.0,-189.0,-5.31,策略S点(破均线),548935.77
2026-02-05,002353,SELL,400,87.0,34800.0,-2268.0,-6.12,策略S点(破均线),583735.77
2026-02-05,600754,BUY,7000,28.44,199080.0,0.0,0.0,主升浪启动,384655.77
2026-02-05,603605,BUY,2600,76.15,197990.0,0.0,0.0,主升浪启动,186665.77
2026-02-05,300144,BUY,20400,9.11,185844.0,0.0,0.0,主升浪启动,821.77
2026-02-05,002938,SELL,3400,58.02,197268.0,-2618.0,-1.31,策略S点(破均线),198089.77
2026-02-05,000998,SELL,18600,9.88,183768.0,-11718.0,-5.99,策略S点(破均线),381857.77
2026-02-06,688223,BUY,24000,8.33,199920.0,0.0,0.0,主升浪启动,181937.77
2026-02-06,600352,BUY,12100,14.95,180895.0,0.0,0.0,主升浪启动,1042.77
2026-02-06,600236,BUY,100,8.97,897.0,0.0,0.0,主升浪启动,145.77
2026-02-09,688777,SELL,2000,85.09,170180.0,-13820.0,-7.51,策略S点(破均线),170325.77
2026-02-09,000338,BUY,6600,25.74,169884.0,0.0,0.0,主升浪启动,441.77
2026-02-09,000415,SELL,1200,5.25,6300.0,768.0,13.88,止盈,6741.77
2026-02-09,000415,BUY,1200,5.39,6468.0,0.0,0.0,主升浪启动,273.77
2026-02-10,002244,SELL,16500,11.67,192555.0,2805.0,1.48,策略S点(破均线),192828.77
2026-02-10,600499,SELL,700,16.79,11753.0,-630.0,-5.09,策略S点(破均线),204581.77
2026-02-10,001979,SELL,100,10.49,1049.0,-38.0,-3.5,策略S点(破均线),205630.77
2026-02-10,600673,BUY,6000,33.06,198360.0,0.0,0.0,主升浪启动,7270.77
2026-02-10,603833,SELL,500,60.56,30280.0,-430.0,-1.4,策略S点(破均线),37550.77
2026-02-11,300251,SELL,10000,26.1,261000.0,65400.0,33.44,止盈,298550.77
2026-02-11,300251,BUY,7400,26.86,198764.0,0.0,0.0,主升浪启动,99786.77
