回测开始日期,回测结束日期,止盈(%),止损(%),最大持仓(天),斜率阈值(°),绝对盈亏(元),总收益率(%),总交易笔数,胜率(%)
2022-03-01,2023-02-28,11.0,4.0,12,20.0,-359615.61,-35.96,421,24.47
2022-03-01,2023-02-28,9.0,9.0,15,20.0,-359854.78,-35.99,377,29.44
2022-03-01,2023-02-28,15.0,8.0,8,20.0,-360389.07,-36.04,401,34.41
2022-03-01,2023-02-28,8.0,4.0,8,20.0,-360489.18,-36.05,489,29.24
2022-03-01,2023-02-28,6.0,3.0,11,20.0,-360850.88,-36.09,482,28.22
2022-03-01,2023-02-28,8.0,10.0,7,20.0,-361261.96,-36.13,412,34.47
2022-03-01,2023-02-28,15.0,8.0,11,25.0,-361492.56,-36.15,345,32.17
2022-03-01,2023-02-28,11.0,3.0,14,20.0,-361670.15,-36.17,454,22.47
2022-03-01,2023-02-28,9.0,6.0,14,25.0,-361980.7,-36.2,403,31.76
2022-03-01,2023-02-28,6.0,5.0,5,20.0,-362063.38,-36.21,513,39.77
2022-03-01,2023-02-28,9.0,6.0,14,20.0,-362171.15,-36.22,414,28.5
2022-03-01,2023-02-28,9.0,10.0,9,25.0,-362225.2,-36.22,413,31.72
2022-03-01,2023-02-28,9.0,7.0,8,20.0,-362269.41,-36.23,447,33.56
2022-03-01,2023-02-28,10.0,9.0,13,25.0,-362842.1,-36.28,387,28.42
2022-03-01,2023-02-28,10.0,3.0,13,20.0,-363095.97,-36.31,471,24.42
2022-03-01,2023-02-28,14.0,6.0,14,20.0,-363176.35,-36.32,340,29.12
2022-03-01,2023-02-28,12.0,9.0,13,20.0,-363347.7,-36.33,404,28.71
2022-03-01,2023-02-28,15.0,3.0,11,20.0,-363340.23,-36.33,445,22.7
2022-03-01,2023-02-28,10.0,8.0,9,20.0,-363480.33,-36.35,392,32.14
2022-03-01,2023-02-28,14.0,9.0,13,25.0,-363548.35,-36.35,364,26.92
2022-03-01,2023-02-28,15.0,6.0,8,20.0,-364007.19,-36.4,412,32.52
2022-03-01,2023-02-28,11.0,7.0,9,20.0,-364113.14,-36.41,389,30.08
2022-03-01,2023-02-28,6.0,5.0,5,25.0,-364544.39,-36.45,537,38.36
2022-03-01,2023-02-28,15.0,9.0,15,20.0,-364668.22,-36.47,351,29.06
2022-03-01,2023-02-28,15.0,10.0,8,25.0,-364769.62,-36.48,367,34.33
2022-03-01,2023-02-28,12.0,7.0,7,20.0,-365175.26,-36.52,401,32.67
2022-03-01,2023-02-28,9.0,6.0,15,25.0,-365263.04,-36.53,403,30.77
2022-03-01,2023-02-28,8.0,5.0,10,20.0,-365721.4,-36.57,439,29.16
2022-03-01,2023-02-28,15.0,8.0,8,25.0,-366248.2,-36.62,380,32.37
2022-03-01,2023-02-28,11.0,7.0,6,20.0,-366260.39,-36.63,450,34.67
2022-03-01,2023-02-28,10.0,10.0,12,25.0,-366477.34,-36.65,402,29.35
2022-03-01,2023-02-28,12.0,8.0,14,25.0,-366570.99,-36.66,375,27.2
2022-03-01,2023-02-28,5.0,3.0,12,20.0,-367133.27,-36.71,531,32.2
2022-03-01,2023-02-28,10.0,6.0,11,20.0,-367950.59,-36.8,387,29.46
2022-03-01,2023-02-28,11.0,8.0,7,20.0,-367969.89,-36.8,414,34.06
2022-03-01,2023-02-28,14.0,3.0,9,25.0,-368224.04,-36.82,458,24.02
2022-03-01,2023-02-28,6.0,4.0,9,20.0,-368531.23,-36.85,476,28.78
2022-03-01,2023-02-28,12.0,10.0,7,20.0,-369087.4,-36.91,389,31.88
2022-03-01,2023-02-28,11.0,7.0,14,20.0,-369346.71,-36.93,370,28.65
2022-03-01,2023-02-28,11.0,5.0,9,20.0,-369529.46,-36.95,419,26.73
2022-03-01,2023-02-28,15.0,9.0,7,25.0,-369579.55,-36.96,377,33.16
2022-03-01,2023-02-28,12.0,10.0,10,20.0,-369682.05,-36.97,386,29.02
2022-03-01,2023-02-28,11.0,8.0,13,20.0,-369947.4,-36.99,374,28.88
2022-03-01,2023-02-28,10.0,8.0,7,20.0,-369964.28,-37.0,401,35.16
2022-03-01,2023-02-28,13.0,9.0,13,25.0,-370116.62,-37.01,339,26.84
2022-03-01,2023-02-28,11.0,8.0,13,25.0,-370288.63,-37.03,370,27.84
2022-03-01,2023-02-28,14.0,8.0,15,25.0,-370416.44,-37.04,357,28.85
2022-03-01,2023-02-28,10.0,10.0,8,25.0,-370553.78,-37.06,396,32.32
2022-03-01,2023-02-28,5.0,7.0,7,20.0,-371029.68,-37.1,478,38.91
2022-03-01,2023-02-28,7.0,9.0,8,20.0,-371954.74,-37.2,406,36.21
2022-03-01,2023-02-28,12.0,7.0,11,25.0,-372208.05,-37.22,365,27.67
2022-03-01,2023-02-28,9.0,7.0,15,20.0,-372276.77,-37.23,386,28.76
2022-03-01,2023-02-28,12.0,8.0,15,25.0,-372568.97,-37.26,370,28.65
2022-03-01,2023-02-28,8.0,8.0,9,20.0,-372826.59,-37.28,447,34.45
2022-03-01,2023-02-28,9.0,8.0,8,25.0,-373191.43,-37.32,413,36.8
